figure_id,caption,pdf_page,chart_family,extraction_priority,phase7_status,downstream_use,model_input_status,closeout_note
Figure 20,Timber Supply Impacts since MP #10 to Base Case,101,waterfall_or_bar_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 21,Harvest Levels Maintaining Current AAC,103,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 22,Harvest Levels Maximizing Short-Term Harvest,104,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 23,Harvest Levels with Increased Natural Stand Yields,107,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 24,Harvest Levels with Decreased Natural Stand Yields,109,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 25,Harvest Levels with Increased Managed Stand Yields,110,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 26,Harvest Levels with Decreased Managed Stand Yields,112,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 27,"A Generic Yield Curve Adjustment (Pienaar & Rheney, 1995)",115,line_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 28,Examples of Implementing the Pienaar & Rheney Adjustment Formula for VDYP Yield Curves using Known Adjusted ITI Volume,116,line_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 29,Harvest Levels with Adjusted ITI Stand Yields,117,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 30,Harvest Levels with ITI adjusted volumes and LiDAR-derived Height and Site Index,120,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 31,"Harvest Levels with ITI adjusted volumes, LiDAR-derived Height and Site Index, and reduced OAF1",122,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 32,Comparison of Harvest Scenarios: Base Case vs. Two Flows on ITI-Adjusted Volume with Reduced OAF1 Scenario,123,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 33,Harvest Levels with No Genetic Gain,124,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 34,Harvest Levels with Full NSOG Order Targets,126,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 35,Harvest Levels with MHA Increased by 10 Years,129,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 36,Harvest Levels with MHA Decreased by 10 Years,131,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 37,Harvest Levels with Helicopter Operable Land Base Excluded,132,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 38,Harvest Levels with 10% THLB Increases,133,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 39,Harvest Levels with 10% THLB Decreases,136,line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 40,AAC Recommendation THLB Growing Stock By 1-120 Years Old Categories,143,multi_series_line_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 41,AAC Recommendation THLB Growing Stock by Harvest Systems,144,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 42,AAC Recommendation Merchantable Growing Stock by Harvest Systems,145,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 43,AAC Recommendation Harvest by Stand Eras,146,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 44,AAC Recommendation Harvest Level by Stand Seral Stages,147,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 45,"AAC Recommendation Age Class Distribution of Productive Forest Area (187,425 ha)",148,bar_chart,high,reviewed_for_planning,phase6_mp11_age_class_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 46,AAC Recommendation Harvest Level by Harvest Systems,149,stacked_or_grouped_time_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 47,AAC Recommendation Average Block Size by Harvest Systems,150,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 48,AAC Recommendation Harvest Statistics,151,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 49,AAC Recommendation Harvest by Species Composition,152,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 50,AAC Recommendation Harvest by Elevation Bands,153,bar_or_mixed_chart,medium,deferred_not_extracted,future_optional_review,not_model_input,Not extracted in the bounded Phase 7 test; mostly medium-priority stacked or mixed charts.
Figure 51,AAC Recommendation Cedar Inventory in Productive Forest,154,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_cedar_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 52,AAC Recommendation Old Cedar Inventory in Productive Forest,155,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_cedar_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 53,AAC Recommendation Projection of Old Seral Forest Proportions for Holberg LU .,156,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 54,AAC Recommendation Projection of Old Seral Forest Proportions for Keogh LU,156,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 55,AAC Recommendation Projection of Old Seral Forest Proportions for Mahatta LU,157,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 56,AAC Recommendation Projection of Old Seral Forest Proportions for Neroutsos LU,157,multi_series_line_chart,high,reviewed_for_planning,phase6_mp11_old_seral_planning_only,not_model_input,Reviewed deterministic extraction; useful as planning context but not comparison-accepted.
Figure 57,Updated Timber Supply Impacts Since MP #10,158,waterfall_or_bar_chart,high,accepted_for_comparison,phase6_mp11_comparison_only,not_model_input,Reviewed deterministic extraction; suitable for Phase 6 comparison planning only.
Figure 58,An Example Stand With Orthophoto and Forest Cover Attribute,172,map_or_diagram,excluded_context,inventory_context_only,qualitative_context_only,not_model_input,"Context map, diagram, or image; not a chart-to-table target in Phase 7."
Figure 59,Crown Height Model from LiDAR for The Same Stand,173,map_or_diagram,excluded_context,inventory_context_only,qualitative_context_only,not_model_input,"Context map, diagram, or image; not a chart-to-table target in Phase 7."
Figure 60,"Diagram of Identifying Gaps, adapted from VRI Ground Sampling Procedures (Province of British Columbia, 2018)",174,map_or_diagram,excluded_context,inventory_context_only,qualitative_context_only,not_model_input,"Context map, diagram, or image; not a chart-to-table target in Phase 7."
Figure 61,Orthophoto with Inventory Polygon and LIDAR Gap Factor,175,map_or_diagram,excluded_context,inventory_context_only,qualitative_context_only,not_model_input,"Context map, diagram, or image; not a chart-to-table target in Phase 7."
