corpus_id,source_url,source_sha256,report_component,report_page,pdf_page,figure_id,caption,chart_family,extraction_priority,initial_review_status,downstream_relevance,phase6_alignment
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,27,91,Figure 11,Base Case Harvest Statistics,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,28,92,Figure 12,Base Case Harvest by Species Composition,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,29,93,Figure 13,Base Case Harvest by Elevation Bands,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,31,95,Figure 14,Base Case Cedar Inventory in Productive Forests,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,33,97,Figure 15,Base Case Old Cedar Inventory in Productive Forests,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,34,98,Figure 16,Projection of Old Seral Forest Proportions for Holberg LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,35,99,Figure 17,Projection of Old Seral Forest Proportions for Keogh LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,35,99,Figure 18,Projection of Old Seral Forest Proportions for Mahatta LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,36,100,Figure 19,Projection of Old Seral Forest Proportions for Neroutsos LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,37,101,Figure 20,Timber Supply Impacts since MP #10 to Base Case,waterfall_or_bar_chart,high,inventory_only,scenario impact summary relevant to MP10-to-MP11 delta explanation,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,39,103,Figure 21,Harvest Levels Maintaining Current AAC,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,40,104,Figure 22,Harvest Levels Maximizing Short-Term Harvest,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,43,107,Figure 23,Harvest Levels with Increased Natural Stand Yields,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,45,109,Figure 24,Harvest Levels with Decreased Natural Stand Yields,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,46,110,Figure 25,Harvest Levels with Increased Managed Stand Yields,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,48,112,Figure 26,Harvest Levels with Decreased Managed Stand Yields,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,51,115,Figure 27,"A Generic Yield Curve Adjustment (Pienaar & Rheney, 1995)",line_chart,medium,inventory_only,method/yield-adjustment chart; useful for documentation and yield-assumption review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,52,116,Figure 28,Examples of Implementing the Pienaar & Rheney Adjustment Formula for VDYP Yield Curves using Known Adjusted ITI Volume,line_chart,medium,inventory_only,method/yield-adjustment chart; useful for documentation and yield-assumption review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,53,117,Figure 29,Harvest Levels with Adjusted ITI Stand Yields,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,56,120,Figure 30,Harvest Levels with ITI adjusted volumes and LiDAR-derived Height and Site Index,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,58,122,Figure 31,"Harvest Levels with ITI adjusted volumes, LiDAR-derived Height and Site Index, and reduced OAF1",line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,59,123,Figure 32,Comparison of Harvest Scenarios: Base Case vs. Two Flows on ITI-Adjusted Volume with Reduced OAF1 Scenario,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,60,124,Figure 33,Harvest Levels with No Genetic Gain,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,62,126,Figure 34,Harvest Levels with Full NSOG Order Targets,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,65,129,Figure 35,Harvest Levels with MHA Increased by 10 Years,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,67,131,Figure 36,Harvest Levels with MHA Decreased by 10 Years,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,68,132,Figure 37,Harvest Levels with Helicopter Operable Land Base Excluded,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,69,133,Figure 38,Harvest Levels with 10% THLB Increases,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,72,136,Figure 39,Harvest Levels with 10% THLB Decreases,line_chart,high,inventory_only,harvest-flow trajectory relevant to scenario and AAC comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,79,143,Figure 40,AAC Recommendation THLB Growing Stock By 1-120 Years Old Categories,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,80,144,Figure 41,AAC Recommendation THLB Growing Stock by Harvest Systems,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,81,145,Figure 42,AAC Recommendation Merchantable Growing Stock by Harvest Systems,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,82,146,Figure 43,AAC Recommendation Harvest by Stand Eras,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,83,147,Figure 44,AAC Recommendation Harvest Level by Stand Seral Stages,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,84,148,Figure 45,"AAC Recommendation Age Class Distribution of Productive Forest Area (187,425 ha)",bar_chart,high,inventory_only,age-class distribution directly relevant to starting inventory comparison,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,85,149,Figure 46,AAC Recommendation Harvest Level by Harvest Systems,stacked_or_grouped_time_chart,medium,inventory_only,categorical time-series; likely needs manual legend/crop review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,86,150,Figure 47,AAC Recommendation Average Block Size by Harvest Systems,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,87,151,Figure 48,AAC Recommendation Harvest Statistics,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,88,152,Figure 49,AAC Recommendation Harvest by Species Composition,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,89,153,Figure 50,AAC Recommendation Harvest by Elevation Bands,bar_or_mixed_chart,medium,inventory_only,KPI-style chart; useful for comparison after easier harvest-flow targets,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,90,154,Figure 51,AAC Recommendation Cedar Inventory in Productive Forest,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,91,155,Figure 52,AAC Recommendation Old Cedar Inventory in Productive Forest,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,92,156,Figure 53,AAC Recommendation Projection of Old Seral Forest Proportions for Holberg LU .,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,92,156,Figure 54,AAC Recommendation Projection of Old Seral Forest Proportions for Keogh LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,93,157,Figure 55,AAC Recommendation Projection of Old Seral Forest Proportions for Mahatta LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,93,157,Figure 56,AAC Recommendation Projection of Old Seral Forest Proportions for Neroutsos LU,multi_series_line_chart,high,inventory_only,time-series indicator relevant to MP11 comparison and constraints review,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,94,158,Figure 57,Updated Timber Supply Impacts Since MP #10,waterfall_or_bar_chart,high,inventory_only,scenario impact summary relevant to MP10-to-MP11 delta explanation,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,108,172,Figure 58,An Example Stand With Orthophoto and Forest Cover Attribute,map_or_diagram,excluded_context,inventory_only,context figure; not a chart-to-table target,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,109,173,Figure 59,Crown Height Model from LiDAR for The Same Stand,map_or_diagram,excluded_context,inventory_only,context figure; not a chart-to-table target,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,110,174,Figure 60,"Diagram of Identifying Gaps, adapted from VRI Ground Sampling Procedures (Province of British Columbia, 2018)",map_or_diagram,excluded_context,inventory_only,context figure; not a chart-to-table target,#44; later #45/#46/#47 as applicable
tfl6-mp11-full-figures,https://www.westernforest.com/wp-content/uploads/2026/06/TFL6_MP_11_202606_w_Appendices_Web-compressed.pdf,44591c1024254e36d8989df45a2b489a624d5669c5ae01a6ebfd961b50a7321b,Appendix A Timber Supply Analysis,111,175,Figure 61,Orthophoto with Inventory Polygon and LIDAR Gap Factor,map_or_diagram,excluded_context,inventory_only,context figure; not a chart-to-table target,#44; later #45/#46/#47 as applicable
