figure_id,caption,chart_family,extraction_priority,preliminary_crop_path,proposal_path,bbox_left,bbox_top,bbox_right,bbox_bottom,width_px,height_px,crop_sha256,proposal_status,review_status,detection_note
Figure 21,Harvest Levels Maintaining Current AAC,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-21.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-21-proposal.png,0,0,1075,1172,1075,1172,8c82bbf6f2fe324bce31ae17bc891fb2bfe831df0b4d393ad042d219ad016750,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 22,Harvest Levels Maximizing Short-Term Harvest,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-22.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-22-proposal.png,0,291,1075,1299,1075,1008,fad45b8c42720e6f477ae6f9aa562af64b9f2b978e46bb696b8d0c62ef64d42d,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 23,Harvest Levels with Increased Natural Stand Yields,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-23.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-23-proposal.png,0,0,1075,1333,1075,1333,f5ceb738011d4fede0db1321ebd5009ce5c5962b5008e08e8cf56061b6cf07b8,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 24,Harvest Levels with Decreased Natural Stand Yields,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-24.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-24-proposal.png,0,0,1075,1385,1075,1385,a91b1de654ecb596e1d7d5585eee5362fd4bea1f6188aa07d497d921dcebec7f,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 25,Harvest Levels with Increased Managed Stand Yields,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-25.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-25-proposal.png,0,0,1075,1410,1075,1410,3fc229ec2660c70543edcd9b843a059052f633d1b174a9e2ca98a795f8c4eb68,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 26,Harvest Levels with Decreased Managed Stand Yields,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-26.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-26-proposal.png,0,0,1075,1410,1075,1410,5eaac8c25d5c6cddf48a8969a3866d05b36df143208f8b219bbee6091e786ec4,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 29,Harvest Levels with Adjusted ITI Stand Yields,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-29.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-29-proposal.png,0,428,1075,1218,1075,790,981ff2a2092b2893e5320da2213efa541996075c219d6ab3a380c082b4b427fc,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 30,Harvest Levels with ITI adjusted volumes and LiDAR-derived Height and Site Index,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-30.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-30-proposal.png,0,83,1075,907,1075,824,ce902bc9757a27b50393ba1d28630bf62fe7ff0a7587f2fff964581f27968cca,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 31,"Harvest Levels with ITI adjusted volumes, LiDAR-derived Height and Site Index, and reduced OAF1",line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-31.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-31-proposal.png,0,250,1075,1157,1075,907,8daa09166dc63a73497967ad6c128d70a055f768377b508271ea8f719cd0dbd5,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 32,Comparison of Harvest Scenarios: Base Case vs. Two Flows on ITI-Adjusted Volume with Reduced OAF1 Scenario,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-32.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-32-proposal.png,0,368,1075,1379,1075,1011,91c23baadf292884c8fa4248ac7c690d6e1fa70cd2dc929558c37f594b0dc112,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 33,Harvest Levels with No Genetic Gain,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-33.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-33-proposal.png,0,0,1024,1410,1024,1410,7fe9dc570a86d4ff380f2280e05e2684478d8e477188c022ead90b2a98f4cdca,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 34,Harvest Levels with Full NSOG Order Targets,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-34.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-34-proposal.png,0,0,1075,1410,1075,1410,8cac9d6f4322f67dd205a17007fd5544dd2ea9419e8a9eb966e6bf74beffda55,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 35,Harvest Levels with MHA Increased by 10 Years,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-35.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-35-proposal.png,0,89,1075,869,1075,780,bad40fd75a1bc1da51a7d82879eaa33f961fdbb75ac002a8de37afb3d251c85b,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 36,Harvest Levels with MHA Decreased by 10 Years,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-36.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-36-proposal.png,0,88,1075,856,1075,768,7fcc95aeb7f99b2bd4656b8efc0b6eaa3875884a2e98d7e050c9fc7d6ba110dc,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 37,Harvest Levels with Helicopter Operable Land Base Excluded,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-37.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-37-proposal.png,0,0,1075,1410,1075,1410,5556b9e3377dfa6435c9ec388e250ce41a59cb04386288a03c79e7bf94f7c396,proposed,needs_manual_crop_review,5 colour components after filtering
Figure 38,Harvest Levels with 10% THLB Increases,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-38.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-38-proposal.png,0,0,1075,1391,1075,1391,866b093e91baed9c5f64e1d81fd4ee5ed5850f535526284a1f6447cc479c419c,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 39,Harvest Levels with 10% THLB Decreases,line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-39.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-39-proposal.png,0,89,1075,856,1075,767,f3d29a99e7ba72d0d266523715d5aadd42604306cd2e4c8648997aafbb2aeaae,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 40,AAC Recommendation THLB Growing Stock By 1-120 Years Old Categories,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-40.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-40-proposal.png,0,742,1063,1410,1063,668,f840ac3c5f15cac4e5a88610306836fd38ba6835b1bc2d2b8cd451f9bcb163c9,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 45,"AAC Recommendation Age Class Distribution of Productive Forest Area (187,425 ha)",bar_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-45.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-45-proposal.png,0,127,1075,1390,1075,1263,c18fda3c59e21a38caaa3ee97e9be2b8ecacb7a56f09887df4d3345053c72d2b,proposed,needs_manual_crop_review,9 colour components after filtering
Figure 51,AAC Recommendation Cedar Inventory in Productive Forest,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-51.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-51-proposal.png,0,54,1022,749,1022,695,a3381dc9e347124bd7bbc041f0ace82477403a5bf399f3c574bd29cd3940a6a0,proposed,needs_manual_crop_review,4 colour components after filtering
Figure 52,AAC Recommendation Old Cedar Inventory in Productive Forest,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-52.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-52-proposal.png,0,3,1075,717,1075,714,30500f7f3aebb9b8978a9e55ae01ac8e073ed5a4666436fab2657b50100c52de,proposed,needs_manual_crop_review,3 colour components after filtering
Figure 53,AAC Recommendation Projection of Old Seral Forest Proportions for Holberg LU .,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-53.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-53-proposal.png,0,34,1049,1370,1049,1336,e76a500a83ad1dadb124c932ae7103af17c11efa6e6c6d40a90905a0f5efbb5e,proposed,needs_manual_crop_review,8 colour components after filtering
Figure 54,AAC Recommendation Projection of Old Seral Forest Proportions for Keogh LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-54.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-54-proposal.png,0,34,1049,1370,1049,1336,e76a500a83ad1dadb124c932ae7103af17c11efa6e6c6d40a90905a0f5efbb5e,proposed,needs_manual_crop_review,8 colour components after filtering
Figure 55,AAC Recommendation Projection of Old Seral Forest Proportions for Mahatta LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-55.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-55-proposal.png,0,34,1049,1366,1049,1332,2b3dccaade91b3fed0dbbd64d4bd76a64ac09c5e8fa04e1ffa8a999b5ef7a425,proposed,needs_manual_crop_review,9 colour components after filtering
Figure 56,AAC Recommendation Projection of Old Seral Forest Proportions for Neroutsos LU,multi_series_line_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-56.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-56-proposal.png,0,34,1049,1366,1049,1332,2b3dccaade91b3fed0dbbd64d4bd76a64ac09c5e8fa04e1ffa8a999b5ef7a425,proposed,needs_manual_crop_review,9 colour components after filtering
Figure 57,Updated Timber Supply Impacts Since MP #10,waterfall_or_bar_chart,high,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_preliminary/figure-57.png,runtime/document_ingestion/tfl6-mp11-full-figures/crops/priority_high_proposals/figure-57-proposal.png,0,578,1020,1410,1020,832,21b8a0ecd416a41faa418682f062cdea161aefa57a9e7b055f9bbb04ac164c4c,proposed,needs_manual_crop_review,2 colour components after filtering
